nome_com,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20
ABBIATEGRASSO,0.00000000193,0.00000000193,0.00000000193,0.00000000193,0.00000000191,0.00000000191,0.00000000191,0.00000000191,0.00000000201,0.00000000201,0.00000000201,0.00000000201,0.00000000198,0.00000000198,0.00000000198,0.00000000198,0.00000000206,0.00000000206,0.00000000206,0.00000000206
AGRATE BRIANZA,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142,0.00000000142
ALBAIRATE,3.55E-10,3.55E-10,3.55E-10,3.55E-10,4.34E-10,4.34E-10,4.34E-10,4.34E-10,5.03E-10,5.03E-10,5.03E-10,5.03E-10,4.94E-10,4.94E-10,4.94E-10,4.94E-10,4.85E-10,4.85E-10,4.85E-10,4.85E-10
ARCONATE,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10,1.5E-10
ARESE,7.49E-10,7.49E-10,7.49E-10,7.49E-10,7.46E-10,7.46E-10,7.46E-10,7.46E-10,6.81E-10,6.81E-10,6.81E-10,6.81E-10,6.69E-10,6.69E-10,6.69E-10,6.69E-10,6.92E-10,6.92E-10,6.92E-10,6.92E-10
ARLUNO,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,7.44E-10,0.00000000156,0.00000000156,0.00000000156,0.00000000156,0.00000000135,0.00000000135,0.00000000135,0.00000000135
ASSAGO,0.000000005,0.000000005,0.000000005,0.000000005,0.00000000508,0.00000000508,0.00000000508,0.00000000508,0.00000000496,0.00000000496,0.00000000496,0.00000000496,0.00000000487,0.00000000487,0.00000000487,0.00000000487,0.00000000443,0.00000000443,0.00000000443,0.00000000443
BARANZATE,5.71E-10,5.71E-10,5.71E-10,5.71E-10,7.02E-10,7.02E-10,7.02E-10,7.02E-10,6.33E-10,6.33E-10,6.33E-10,6.33E-10,0.00000000111,0.00000000111,0.00000000111,0.00000000111,0.000000001,0.000000001,0.000000001,0.000000001
BAREGGIO,0.00000000201,0.00000000201,0.00000000201,0.00000000201,0.00000000202,0.00000000202,0.00000000202,0.00000000202,0.00000000203,0.00000000203,0.00000000203,0.00000000203,0.00000000177,0.00000000177,0.00000000177,0.00000000177,0.00000000134,0.00000000134,0.00000000134,0.00000000134
BASIANO,3.98E-10,3.98E-10,3.98E-10,3.98E-10,3.55E-10,3.55E-10,3.55E-10,3.55E-10,3.24E-10,3.24E-10,3.24E-10,3.24E-10,3.36E-10,3.36E-10,3.36E-10,3.36E-10,2.99E-10,2.99E-10,2.99E-10,2.99E-10
BASIGLIO,0.00000000179,0.00000000179,0.00000000179,0.00000000179,0.00000000183,0.00000000183,0.00000000183,0.00000000183,0.00000000189,0.00000000189,0.00000000189,0.00000000189,0.00000000176,0.00000000176,0.00000000176,0.00000000176,0.00000000168,0.00000000168,0.00000000168,0.00000000168
BELLINZAGO LOMBARDO,0.00000000103,0.00000000103,0.00000000103,0.00000000103,1.81E-10,1.81E-10,1.81E-10,1.81E-10,1.36E-10,1.36E-10,1.36E-10,1.36E-10,1.45E-10,1.45E-10,1.45E-10,1.45E-10,7.23E-11,7.23E-11,7.23E-11,7.23E-11
BERNATE TICINO,7.83E-12,7.83E-12,7.83E-12,7.83E-12,7.83E-12,7.83E-12,7.83E-12,7.83E-12,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11,1.17E-11
BINASCO,0.00000000535,0.00000000535,0.00000000535,0.00000000535,0.00000000557,0.00000000557,0.00000000557,0.00000000557,0.00000000507,0.00000000507,0.00000000507,0.00000000507,0.000000005,0.000000005,0.000000005,0.000000005,0.00000000482,0.00000000482,0.00000000482,0.00000000482
BOFFALORA SOPRA TICINO,5.2E-10,5.2E-10,5.2E-10,5.2E-10,5.71E-10,5.71E-10,5.71E-10,5.71E-10,5.57E-10,5.57E-10,5.57E-10,5.57E-10,5.39E-10,5.39E-10,5.39E-10,5.39E-10,4.74E-10,4.74E-10,4.74E-10,4.74E-10
BOLLATE,0.00000000215,0.00000000215,0.00000000215,0.00000000215,0.00000000229,0.00000000229,0.00000000229,0.00000000229,0.0000000022,0.0000000022,0.0000000022,0.0000000022,0.00000000223,0.00000000223,0.00000000223,0.00000000223,0.00000000226,0.00000000226,0.00000000226,0.00000000226
BOVISIO MASCIAGO,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225,0.00000000225
BRESSO,0.00000000178,0.00000000178,0.00000000178,0.00000000178,0.00000000584,0.00000000584,0.00000000584,0.00000000584,0.00000000354,0.00000000354,0.00000000354,0.00000000354,0.0000000024,0.0000000024,0.0000000024,0.0000000024,0.00000000257,0.00000000257,0.00000000257,0.00000000257
BRUGHERIO,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10,2.33E-10
BUBBIANO,8.79E-10,8.79E-10,8.79E-10,8.79E-10,8.79E-10,8.79E-10,8.79E-10,8.79E-10,7.71E-10,7.71E-10,7.71E-10,7.71E-10,9.64E-10,9.64E-10,9.64E-10,9.64E-10,6.86E-10,6.86E-10,6.86E-10,6.86E-10
BUCCINASCO,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000359,0.00000000348,0.00000000348,0.00000000348,0.00000000348,0.0000000034,0.0000000034,0.0000000034,0.0000000034
BURAGO DI MOLGORA,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10,5.54E-10
