,nome_com,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
0,ABBIATEGRASSO,-0.1105,-0.1105,-0.1105,-0.1105,-0.1097,-0.1097,-0.1097,-0.1097,-0.1153,-0.1153,-0.1153,-0.1153,-0.1135,-0.1135,-0.1135,-0.1135
1,AGRATE BRIANZA,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607
2,ALBAIRATE,-0.0077,-0.0077,-0.0077,-0.0077,-0.0094,-0.0094,-0.0094,-0.0094,-0.0109,-0.0109,-0.0109,-0.0109,-0.0107,-0.0107,-0.0107,-0.0107
3,ARCONATE,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031
4,ARESE,-0.0265,-0.0265,-0.0265,-0.0265,-0.0264,-0.0264,-0.0264,-0.0264,-0.0241,-0.0241,-0.0241,-0.0241,-0.0237,-0.0237,-0.0237,-0.0237
5,ARLUNO,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0663,-0.0663,-0.0663,-0.0663
6,ASSAGO,-0.1206,-0.1206,-0.1206,-0.1206,-0.1226,-0.1226,-0.1226,-0.1226,-0.1198,-0.1198,-0.1198,-0.1198,-0.1175,-0.1175,-0.1175,-0.1175
7,BARANZATE,-0.0083,-0.0083,-0.0083,-0.0083,-0.0102,-0.0102,-0.0102,-0.0102,-0.0092,-0.0092,-0.0092,-0.0092,-0.0161,-0.0161,-0.0161,-0.0161
8,BAREGGIO,-0.0666,-0.0666,-0.0666,-0.0666,-0.067,-0.067,-0.067,-0.067,-0.0673,-0.0673,-0.0673,-0.0673,-0.0587,-0.0587,-0.0587,-0.0587
9,BASIANO,-0.0064,-0.0064,-0.0064,-0.0064,-0.0057,-0.0057,-0.0057,-0.0057,-0.0052,-0.0052,-0.0052,-0.0052,-0.0054,-0.0054,-0.0054,-0.0054
10,BASIGLIO,-0.0254,-0.0254,-0.0254,-0.0254,-0.026,-0.026,-0.026,-0.026,-0.0269,-0.0269,-0.0269,-0.0269,-0.025,-0.025,-0.025,-0.025
11,BELLINZAGO LOMBARDO,-0.0114,-0.0114,-0.0114,-0.0114,-0.002,-0.002,-0.002,-0.002,-0.0015,-0.0015,-0.0015,-0.0015,-0.0016,-0.0016,-0.0016,-0.0016
12,BERNATE TICINO,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
13,BINASCO,-0.0721,-0.0721,-0.0721,-0.0721,-0.075,-0.075,-0.075,-0.075,-0.0683,-0.0683,-0.0683,-0.0683,-0.0673,-0.0673,-0.0673,-0.0673
14,BOFFALORA SOPRA TICINO,-0.0112,-0.0112,-0.0112,-0.0112,-0.0123,-0.0123,-0.0123,-0.0123,-0.012,-0.012,-0.012,-0.012,-0.0116,-0.0116,-0.0116,-0.0116
15,BOLLATE,-0.1165,-0.1165,-0.1165,-0.1165,-0.1241,-0.1241,-0.1241,-0.1241,-0.1194,-0.1194,-0.1194,-0.1194,-0.1208,-0.1208,-0.1208,-0.1208
16,BOVISIO MASCIAGO,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272
17,BRESSO,-0.0272,-0.0272,-0.0272,-0.0272,-0.0892,-0.0892,-0.0892,-0.0892,-0.0541,-0.0541,-0.0541,-0.0541,-0.0367,-0.0367,-0.0367,-0.0367
18,BRUGHERIO,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011
19,BUBBIANO,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0036,-0.0036,-0.0036,-0.0036,-0.0045,-0.0045,-0.0045,-0.0045
20,BUCCINASCO,-0.1383,-0.1383,-0.1383,-0.1383,-0.1384,-0.1384,-0.1384,-0.1384,-0.1385,-0.1385,-0.1385,-0.1385,-0.134,-0.134,-0.134,-0.134
21,BURAGO DI MOLGORA,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075
